Image Path,Source URL,category,filename,canonical_label
data_collection/scraper/images/dayan_drum/Dayan_drum_6535062009186457747.jpg,https://th.bing.com/th/id/OIP.3D3HzqfC4TKc80BVRTf64wAAAA?w=178&h=197&c=7&r=0&o=5&pid=1.7,Dayan drum,,dayan
data_collection/scraper/images/dayan_drum/Dayan_drum_8802842059965660004.jpg,https://th.bing.com/th/id/OIP.tW-8ZPfPpRvDFEDmlSip_QHaE7?w=297&h=197&c=7&r=0&o=5&pid=1.7,Dayan drum,,dayan
data_collection/scraper/images/dayan_drum/Dayan_drum_7238918478807061195.jpg,https://th.bing.com/th/id/OIP.IT8EUJK8cigEPK3N_qUCmQAAAA?w=161&h=197&c=7&r=0&o=5&pid=1.7,Dayan drum,,dayan
data_collection/scraper/images/dayan_drum/Dayan_drum_1138683504881158668.jpg,https://th.bing.com/th/id/OIP.9UfLcF0pVHCYszsoeAZpJQHaHa?w=198&h=197&c=7&r=0&o=5&pid=1.7,Dayan drum,,dayan
data_collection/scraper/images/dayan_drum/Dayan_drum_7405115566406869616.jpg,https://th.bing.com/th/id/OIP.xV65ynNbgNyITpnTlzwYiwAAAA?w=115&h=180&c=7&r=0&o=5&pid=1.7,Dayan drum,,dayan
data_collection/scraper/images/dayan_drum/Dayan_drum_6024935686046218796.jpg,https://th.bing.com/th/id/OIP.M2sTSPPKOAQ3LvUdPVj0gwHaEB?w=330&h=180&c=7&r=0&o=5&pid=1.7,Dayan drum,,dayan
data_collection/scraper/images/dayan_drum/Dayan_drum_5289536453934528288.jpg,https://th.bing.com/th/id/OIP.NSXV3eXUuw2XQi3iaR8X_AHaHa?w=197&h=197&c=7&r=0&o=5&pid=1.7,Dayan drum,,dayan
data_collection/scraper/images/dayan_drum/Dayan_drum_4783933029214403789.jpg,https://th.bing.com/th/id/OIP.0fIc9iiD8x9eLhdmK-Qc9QHaLE?w=120&h=180&c=7&r=0&o=5&pid=1.7,Dayan drum,,dayan
data_collection/scraper/images/dayan_drum/Dayan_drum_7732838832298083825.jpg,https://th.bing.com/th/id/OIP.uXDWNCd9BLrqbiTX3IdWmwHaHv?w=189&h=197&c=7&r=0&o=5&pid=1.7,Dayan drum,,dayan
data_collection/scraper/images/dayan_drum/Dayan_drum_7091610960674640582.jpg,https://th.bing.com/th/id/OIP.Ixy4bwVwps2RuaXoErPNnwAAAA?w=140&h=180&c=7&r=0&o=5&pid=1.7,Dayan drum,,dayan
